# Time-averaged data for fix thermodynamic_data
# TimeStep c_pe_total c_ke_total v_E_total v_E_interaction v_E_HAP v_E_CO2 v_E_binding v_E_interaction_kcal v_E_HAP_kcal v_E_CO2_kcal v_E_binding_kcal v_temp_current v_press_current v_vol_current v_coverage v_CO2_height c_temp_mobile_prod c_temp_system_prod
54300 -838371 271.978 -838099 695.491 -838099 -695.684 -695.491 16038.6 -1.93273e+07 -16043.1 -16038.6 1216.25 4053.46 114411 0.000577701 -1.14642 1379.11 1216.25
54400 -838377 269.954 -838107 695.299 -838107 -695.762 -695.299 16034.2 -1.93275e+07 -16044.9 -16034.2 1207.2 6017.91 114426 0.000577701 -1.24306 1364.57 1207.2
54500 -838367 263.009 -838103 695.855 -838103 -695.989 -695.855 16047 -1.93274e+07 -16050.1 -16047 1176.14 6611.43 114520 0.000577701 -1.22173 1331.32 1176.14
54600 -838371 264.183 -838106 695.75 -838106 -695.717 -695.75 16044.6 -1.93275e+07 -16043.9 -16044.6 1181.39 6603.41 114340 0.000577701 -1.06945 1331.44 1181.39
54700 -838375 264.579 -838110 695.982 -838110 -695.67 -695.982 16050 -1.93276e+07 -16042.8 -16050 1183.16 6734.73 114530 0.000577701 -0.915134 1337.76 1183.16
54800 -838375 267.354 -838107 695.837 -838107 -695.792 -695.837 16046.6 -1.93275e+07 -16045.6 -16046.6 1195.57 6196.61 114473 0.000577701 -1.10171 1367.72 1195.57
54900 -838377 273.953 -838103 695.558 -838102 -695.951 -695.558 16040.2 -1.93274e+07 -16049.3 -16040.2 1225.08 5579.28 114470 0.000577701 -1.28439 1363.24 1225.08
55000 -838374 261.388 -838113 695.039 -838112 -695.952 -695.039 16028.2 -1.93276e+07 -16049.3 -16028.2 1168.89 5047.76 114461 0.000577701 -1.41038 1327.2 1168.89
55100 -838377 263.269 -838114 695.693 -838113 -696.535 -695.693 16043.3 -1.93276e+07 -16062.7 -16043.3 1177.31 4874.29 114525 0.000577701 -1.68123 1346.21 1177.31
55200 -838373 261.183 -838112 2.29559e-08 -838111 -0.572538 -2.29559e-08 5.29383e-07 -1.93276e+07 -13.2032 -5.29383e-07 1167.98 5589.39 114378 0.000577701 -2.30708 1299.89 1167.98
55300 -838366 243.531 -838123 2.29645e-08 -838122 -0.672046 -2.29645e-08 5.29582e-07 -1.93279e+07 -15.498 -5.29582e-07 1089.04 5183.95 114456 0.000577701 -2.9295 1240.65 1089.04
55400 -838380 269.416 -838111 2.29158e-08 -838110 -0.730254 -2.29158e-08 5.28458e-07 -1.93276e+07 -16.8403 -5.28458e-07 1204.79 5800.2 114342 0.000577701 -3.52015 1352.92 1204.79
55500 -838374 269.67 -838104 2.29797e-08 -838103 -0.74718 -2.29797e-08 5.29932e-07 -1.93274e+07 -17.2306 -5.29932e-07 1205.93 4992.71 114495 0.000577701 -4.09562 1351.89 1205.93
55600 -838352 249.875 -838102 2.29552e-08 -838101 -0.777268 -2.29552e-08 5.29367e-07 -1.93274e+07 -17.9245 -5.29367e-07 1117.41 5151.6 114439 0.000577701 -4.659 1280.52 1117.41
55700 -838354 261.035 -838093 2.29809e-08 -838093 -0.816829 -2.29809e-08 5.2996e-07 -1.93272e+07 -18.8368 -5.2996e-07 1167.32 5970.16 114551 0.000577701 -5.25034 1312.87 1167.32
55800 -838371 263.59 -838107 2.29486e-08 -838107 -0.84653 -2.29486e-08 5.29215e-07 -1.93275e+07 -19.5218 -5.29215e-07 1178.74 4802.79 114474 0.000577701 -5.86351 1325.7 1178.74
55900 -838366 263.018 -838103 2.29548e-08 -838102 -0.885015 -2.29548e-08 5.29359e-07 -1.93274e+07 -20.4092 -5.29359e-07 1176.18 4801.79 114457 0.000577701 -6.46791 1321.2 1176.18
56000 -838360 257.866 -838102 2.29521e-08 -838101 -1.06166 -2.29521e-08 5.29296e-07 -1.93274e+07 -24.4829 -5.29296e-07 1153.15 6220.08 114460 0.000577701 -6.94343 1311.04 1153.15
56100 -838355 257.654 -838097 694.686 -838096 -696.286 -694.686 16020.1 -1.93272e+07 -16057 -16020.1 1152.2 6695.26 114479 0.000577701 -7.44378 1302.58 1152.2
56200 -838359 259.826 -838099 2.29454e-08 -838097 -2.22818 -2.29454e-08 5.29142e-07 -1.93273e+07 -51.3839 -5.29142e-07 1161.91 5679.98 114473 0.000577701 -7.83092 1305.79 1161.91
56300 -838355 252.901 -838102 2.29505e-08 -838100 -2.50216 -2.29505e-08 5.2926e-07 -1.93273e+07 -57.7022 -5.2926e-07 1130.94 5687.07 114385 0.000577701 -8.11618 1283.26 1130.94
56400 -838353 258.214 -838094 2.2957e-08 -838092 -2.55443 -2.2957e-08 5.29409e-07 -1.93272e+07 -58.9074 -5.29409e-07 1154.7 4516.18 114412 0.000577701 -8.37008 1283.7 1154.7
56500 -838341 237.86 -838103 2.29901e-08 -838101 -2.57201 -2.29901e-08 5.30173e-07 -1.93274e+07 -59.313 -5.30173e-07 1063.68 5011.66 114432 0.000577701 -8.62135 1205.77 1063.68
56600 -838352 251.039 -838101 2.2952e-08 -838098 -2.60815 -2.2952e-08 5.29294e-07 -1.93273e+07 -60.1463 -5.29294e-07 1122.61 4467.45 114457 0.000577701 -8.8369 1277.06 1122.61
56700 -838347 259.106 -838088 2.2978e-08 -838085 -2.65864 -2.2978e-08 5.29892e-07 -1.9327e+07 -61.3106 -5.29892e-07 1158.69 4537.96 114286 0.000577701 -9.0819 1285.32 1158.69
56800 -838349 245.506 -838103 2.29681e-08 -838101 -2.71127 -2.29681e-08 5.29665e-07 -1.93274e+07 -62.5244 -5.29665e-07 1097.87 5015.83 114430 0.000577701 -9.28608 1246.98 1097.87
56900 -838341 246.244 -838095 2.29828e-08 -838092 -2.75796 -2.29828e-08 5.30004e-07 -1.93272e+07 -63.601 -5.30004e-07 1101.17 5663.41 114570 0.000577701 -9.48057 1232.61 1101.17
57000 -838347 254.382 -838093 2.29318e-08 -838090 -2.80265 -2.29318e-08 5.28829e-07 -1.93271e+07 -64.6316 -5.28829e-07 1137.56 5431.54 114374 0.000577701 -9.67264 1276.83 1137.56
57100 -838349 258.99 -838090 2.29427e-08 -838087 -2.84348 -2.29427e-08 5.2908e-07 -1.9327e+07 -65.5731 -5.2908e-07 1158.17 5250.54 114462 0.000577701 -9.88079 1321.92 1158.17
57200 -838327 248.357 -838078 2.299e-08 -838076 -2.87351 -2.299e-08 5.30169e-07 -1.93268e+07 -66.2657 -5.30169e-07 1110.62 5848.22 114520 0.000577701 -10.0623 1236.44 1110.62
57300 -838341 256.795 -838084 2.29633e-08 -838081 -2.89386 -2.29633e-08 5.29554e-07 -1.93269e+07 -66.7349 -5.29554e-07 1148.35 4225.56 114356 0.000577701 -10.191 1297.74 1148.35
57400 -838335 252.096 -838083 2.2951e-08 -838080 -2.90773 -2.2951e-08 5.29272e-07 -1.93269e+07 -67.0548 -5.29272e-07 1127.34 3313.53 114367 0.000577701 -10.3379 1270.27 1127.34
