# Time-averaged data for fix rdf_CaO_save
# TimeStep Number-of-rows
# Row c_rdf_CaO[1] c_rdf_CaO[2] c_rdf_CaO[3]
44000 100
44800 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0.0247447 0.000416667
28 1.65 0.367846 0.00708333
29 1.71 0.256881 0.0120833
30 1.77 1.52514 0.0438889
31 1.83 2.35497 0.0963889
32 1.89 2.35393 0.152361
33 1.95 3.60488 0.243611
34 2.01 4.45171 0.363333
35 2.07 6.70995 0.554722
36 2.13 6.79718 0.76
37 2.19 8.28737 1.02458
38 2.25 10.0605 1.36361
39 2.31 9.66985 1.70708
40 2.37 11.1477 2.12389
41 2.43 9.34967 2.49139
42 2.49 8.34587 2.83583
43 2.55 6.82828 3.13139
44 2.61 6.83349 3.44125
45 2.67 5.41759 3.69833
46 2.73 5.26327 3.95944
47 2.79 3.16834 4.12361
48 2.85 3.16486 4.29472
49 2.91 3.32143 4.48194
50 2.97 3.18866 4.66917
51 3.03 2.35451 4.81306
52 3.09 2.65512 4.98181
53 3.15 2.20169 5.12722
54 3.21 2.06749 5.26903
55 3.27 2.0528 5.41514
56 3.33 2.35401 5.58889
57 3.39 2.33851 5.76778
58 3.45 2.25791 5.94667
59 3.51 1.9477 6.10639
60 3.57 1.89748 6.26736
61 3.63 2.07282 6.44917
62 3.69 2.22507 6.65083
63 3.75 2.39035 6.87458
64 3.81 2.86331 7.15125
65 3.87 3.1124 7.46153
66 3.93 3.40313 7.81139
67 3.99 3.44705 8.17667
68 4.05 3.23748 8.53014
69 4.11 3.36722 8.90875
70 4.17 3.52783 9.31708
71 4.23 3.29324 9.70931
72 4.29 3.06567 10.0849
73 4.35 3.48449 10.5238
74 4.41 3.74225 11.0082
75 4.47 3.46077 11.4685
76 4.53 3.00671 11.8792
77 4.59 2.94845 12.2926
78 4.65 2.79945 12.6956
79 4.71 2.81982 13.1119
80 4.77 3.46742 13.6371
81 4.83 2.76825 14.0669
82 4.89 2.6981 14.4964
83 4.95 2.92434 14.9733
84 5.01 2.60529 15.4086
85 5.07 2.23229 15.7906
86 5.13 2.09161 16.1569
87 5.19 2.42695 16.5921
88 5.25 2.50429 17.0515
89 5.31 2.51313 17.5232
90 5.37 2.62012 18.0261
91 5.43 2.42309 18.5017
92 5.49 2.58502 19.0203
93 5.55 2.56807 19.5468
94 5.61 2.57441 20.0861
95 5.67 2.83368 20.6925
96 5.73 2.88207 21.3224
97 5.79 2.61041 21.9049
98 5.85 2.57849 22.4922
99 5.91 2.75341 23.1324
100 5.97 2.65033 23.7611
44900 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0.264142 0.00444444
28 1.65 0.283314 0.00958333
29 1.71 0.214108 0.01375
30 1.77 0.805896 0.0305556
31 1.83 2.31084 0.0820833
32 1.89 2.41202 0.139444
33 1.95 3.36234 0.224583
34 2.01 5.36033 0.36875
35 2.07 6.92833 0.566389
36 2.13 7.00755 0.778056
37 2.19 8.31199 1.04347
38 2.25 9.0945 1.35
39 2.31 10.5169 1.72361
40 2.37 11.0906 2.13833
41 2.43 9.42915 2.50903
42 2.49 8.39192 2.85542
43 2.55 7.70329 3.18889
