# Time-averaged data for fix rdf_PO_save
# TimeStep Number-of-rows
# Row c_rdf_PO[1] c_rdf_PO[2] c_rdf_PO[3]
44000 100
50 2.97 0.27144 4.10972
51 3.03 0.252571 4.17384
52 3.09 0.493635 4.30417
53 3.15 0.46064 4.43056
54 3.21 0.576838 4.59491
55 3.27 0.500261 4.74282
56 3.33 0.805555 4.98981
57 3.39 0.9375 5.28773
58 3.45 1.03182 5.62731
59 3.51 1.07498 5.99352
60 3.57 1.45033 6.50463
61 3.63 1.5114 7.05532
62 3.69 1.83772 7.74722
63 3.75 1.80084 8.44745
64 3.81 1.51325 9.05486
65 3.87 1.84403 9.81852
66 3.93 2.08843 10.7104
67 3.99 1.93463 11.562
68 4.05 1.68376 12.3257
69 4.11 1.9794 13.2502
70 4.17 1.76251 14.0977
71 4.23 1.80365 14.99
72 4.29 1.76175 15.8866
73 4.35 1.6803 16.7657
74 4.41 1.59525 17.6236
75 4.47 1.66504 18.5435
76 4.53 1.37726 19.325
77 4.59 1.37525 20.1262
78 4.65 1.1534 20.8157
79 4.71 1.00872 21.4345
80 4.77 1.01771 22.0748
81 4.83 0.815669 22.6009
82 4.89 0.690032 23.0572
83 4.95 0.692913 23.5266
84 5.01 0.585016 23.9326
85 5.07 0.70249 24.4319
86 5.13 0.847108 25.0484
87 5.19 0.995812 25.79
88 5.25 1.07156 26.6067
89 5.31 1.40645 27.7032
90 5.37 1.44925 28.8588
91 5.43 1.37277 29.978
92 5.49 1.60294 31.3139
93 5.55 1.7503 32.8046
94 5.61 2.05887 34.5963
95 5.67 1.95223 36.3317
96 5.73 1.85192 38.013
97 5.79 1.74679 39.6322
98 5.85 1.62967 41.1743
99 5.91 1.72285 42.8382
100 5.97 1.57424 44.3896
44600 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0.0721817 0.00300926
22 1.29 0.596524 0.0303241
23 1.35 0.775278 0.069213
24 1.41 2.72429 0.218287
25 1.47 10.1562 0.822222
26 1.53 16.96 1.91481
27 1.59 12.4114 2.77824
28 1.65 5.75876 3.20972
29 1.71 3.24799 3.47106
30 1.77 1.69703 3.61736
31 1.83 0.848964 3.6956
32 1.89 0.871204 3.78125
33 1.95 0.367329 3.81968
34 2.01 0.241513 3.84653
35 2.07 0.045177 3.85185
36 2.13 0.0111418 3.85324
37 2.19 0.152539 3.87338
38 2.25 0.0116686 3.875
39 2.31 0.0110132 3.87662
40 2.37 0.0584025 3.88565
41 2.43 0.0384633 3.8919
42 2.49 0.0122321 3.89398
43 2.55 0.0427062 3.90162
44 2.61 0.0147931 3.9044
45 2.67 0.0129942 3.90694
46 2.73 0.111781 3.92986
47 2.79 0.115595 3.95463
48 2.85 0.151218 3.98843
49 2.91 0.192629 4.03333
50 2.97 0.28999 4.1037
51 3.03 0.399516 4.20463
52 3.09 0.410571 4.3125
53 3.15 0.418816 4.42685
54 3.21 0.506966 4.5706
55 3.27 0.686942 4.77269
56 3.33 0.842886 5.02986
57 3.39 0.841082 5.29583
58 3.45 1.0524 5.64051
59 3.51 1.25704 6.06667
60 3.57 1.23891 6.50116
61 3.63 1.56343 7.06806
62 3.69 1.85058 7.76134
63 3.75 1.71488 8.425
64 3.81 1.52153 9.03264
65 3.87 1.92942 9.82778
66 3.93 2.01145 10.6826
67 3.99 2.12062 11.6116
68 4.05 1.75301 12.4028
69 4.11 1.93467 13.3021
70 4.17 1.67064 14.1014
71 4.23 1.76211 14.969
72 4.29 1.80276 15.8819
73 4.35 1.67429 16.7537
74 4.41 1.57585 17.597
75 4.47 1.71306 18.5389
76 4.53 1.41718 19.3391
77 4.59 1.18598 20.0266
78 4.65 1.26596 20.7799
79 4.71 1.05245 21.4222
80 4.77 1.00712 22.0528
81 4.83 0.844839 22.5951
82 4.89 0.653743 23.0252
83 4.95 0.752551 23.5326
84 5.01 0.598613 23.9461
85 5.07 0.696751 24.4389
86 5.13 0.810082 25.0255
87 5.19 1.10066 25.8412
88 5.25 1.04685 26.6352
89 5.31 1.30379 27.6468
90 5.37 1.43934 28.7889
91 5.43 1.47146 29.9826
92 5.49 1.55415 31.2715
93 5.55 1.71624 32.7262
94 5.61 2.13468 34.5748
95 5.67 1.85683 36.2174
96 5.73 1.99647 38.0211
97 5.79 1.77225 39.6558
98 5.85 1.61378 41.1755
99 5.91 1.74041 42.8481
100 5.97 1.55907 44.3771
44700 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0.0112265 0.000462963
22 1.29 0.697211 0.0321759
23 1.35 0.585604 0.0613426
24 1.41 2.34275 0.188657
25 1.47 10.8898 0.831713
26 1.53 15.9839 1.8544
27 1.59 12.779 2.73727
28 1.65 6.3227 3.20764
29 1.71 3.29035 3.4706
30 1.77 1.70875 3.6169
31 1.83 1.03457 3.71157
32 1.89 0.671037 3.77708
33 1.95 0.423317 3.82106
34 2.01 0.144489 3.83704
35 2.07 0.102866 3.84907
36 2.13 0.039199 3.85394
37 2.19 0.0723893 3.86343
38 2.25 0.0284018 3.86736
39 2.31 0.0588036 3.87593
40 2.37 0.0542896 3.88426
41 2.43 0 3.88426
42 2.49 0.0259598 3.88866
43 2.55 0.0807822 3.90301
44 2.61 0.0360844 3.90972
45 2.67 0.0273167 3.91505
46 2.73 0.117061 3.93889
47 2.79 0.0772995 3.95532
48 2.85 0.113603 3.98056
49 2.91 0.187129 4.02384
50 2.97 0.311112 4.09884
51 3.03 0.398553 4.19884
52 3.09 0.408159 4.30532
53 3.15 0.424296 4.42037
54 3.21 0.582897 4.58449
55 3.27 0.783437 4.81343
56 3.33 0.870883 5.07731
57 3.39 0.776846 5.3213
58 3.45 1.11956 5.68542
59 3.51 1.175 6.08102
60 3.57 1.26089 6.52014
61 3.63 1.42655 7.0338
62 3.69 1.94962 7.75926
63 3.75 1.66439 8.39884
64 3.81 1.73561 9.08727
65 3.87 1.94116 9.88171
66 3.93 2.1002 10.7681
67 3.99 2.06649 11.6671
68 4.05 1.74663 12.45
69 4.11 1.92071 13.3366
70 4.17 1.66945 14.1299
71 4.23 1.82457 15.022
72 4.29 1.78501 15.9197
73 4.35 1.58647 16.74
74 4.41 1.63425 17.6086
75 4.47 1.54745 18.4535
76 4.53 1.48361 19.2854
77 4.59 1.26348 20.0127
78 4.65 1.2159 20.7312
79 4.71 1.10852 21.4032
80 4.77 0.996305 22.0227
81 4.83 0.798184 22.5315
82 4.89 0.733627 23.0109
83 4.95 0.769631 23.5262
84 5.01 0.623031 23.9535
85 5.07 0.70194 24.4465
86 5.13 0.84426 25.0537
87 5.19 1.05631 25.8313
88 5.25 1.16457 26.7083
89 5.31 1.22849 27.6549
90 5.37 1.45357 28.8002
91 5.43 1.49223 30.0025
92 5.49 1.59974 31.3201
93 5.55 1.82039 32.8523
94 5.61 1.95076 34.5301
95 5.67 1.94784 36.2412
96 5.73 1.96133 38.0009
97 5.79 1.85521 39.7005
98 5.85 1.63668 41.231
99 5.91 1.73437 42.8863
100 5.97 1.54034 44.3866
44800 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0.0280806 0.00115741
22 1.29 0.501394 0.0238426
23 1.35 0.943909 0.0706019
24 1.41 2.29992 0.194907
25 1.47 10.5919 0.81713
26 1.53 16.8454 1.88912
27 1.59 12.4215 2.74282
28 1.65 6.49327 3.22338
29 1.71 2.99359 3.46134
30 1.77 1.68254 3.60463
31 1.83 1.08315 3.70324
32 1.89 0.808195 3.78171
33 1.95 0.45009 3.82824
34 2.01 0.0843263 3.8375
35 2.07 0.0516396 3.84352
36 2.13 0.0506627 3.84977
37 2.19 0.0728098 3.85926
38 2.25 0.0168438 3.86157
39 2.31 0.0351131 3.86667
40 2.37 0.100058 3.88194
41 2.43 0.0808065 3.89491
42 2.49 0.0466836 3.90278
43 2.55 0.0156996 3.90556
44 2.61 0.0562523 3.91597
45 2.67 0.0298524 3.92176
46 2.73 0.0765481 3.93727
47 2.79 0.113757 3.96134
48 2.85 0.0964765 3.98264
49 2.91 0.245392 4.03912
50 2.97 0.254865 4.10023
51 3.03 0.350587 4.18773
52 3.09 0.445958 4.30347
53 3.15 0.557883 4.45394
54 3.21 0.474405 4.58681
55 3.27 0.761349 4.8081
56 3.33 0.905359 5.08102
57 3.39 0.783301 5.32569
58 3.45 1.0696 5.67176
59 3.51 1.2449 6.08866
60 3.57 1.19738 6.50347
61 3.63 1.54076 7.05532
62 3.69 1.7824 7.71505
63 3.75 1.8205 8.41088
64 3.81 1.72766 9.09259
65 3.87 1.92243 9.87523
66 3.93 2.17846 10.7898
67 3.99 2.04771 11.6759
68 4.05 1.80472 12.4806
69 4.11 1.84459 13.3275
70 4.17 1.81499 14.1854
71 4.23 1.83054 15.0757
72 4.29 1.70086 15.9266
73 4.35 1.64767 16.7741
74 4.41 1.60398 17.622
75 4.47 1.57141 18.4755
76 4.53 1.41551 19.265
77 4.59 1.39816 20.0657
78 4.65 1.12092 20.7245
79 4.71 1.09635 21.3856
80 4.77 1.00869 22.0095
81 4.83 0.871374 22.562
82 4.89 0.759644 23.0558
83 4.95 0.800424 23.5889
84 5.01 0.630377 24.019
85 5.07 0.714604 24.5183
86 5.13 0.815156 25.1014
87 5.19 1.02752 25.8537
88 5.25 1.11961 26.6926
89 5.31 1.32961 27.7116
90 5.37 1.41691 28.8222
91 5.43 1.54555 30.0609
92 5.49 1.53442 31.3181
93 5.55 1.83111 32.8512
94 5.61 1.92742 34.5
95 5.67 1.99226 36.241
96 5.73 2.04084 38.0623
97 5.79 1.81012 39.7118
98 5.85 1.75838 41.3475
99 5.91 1.64476 42.909
100 5.97 1.50629 44.3683
44900 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0.482563 0.0217593
23 1.35 0.937501 0.0680556
24 1.41 2.74991 0.216204
25 1.47 10.5873 0.836111
