# Time-averaged data for fix rdf_OH_save
# TimeStep Number-of-rows
# Row c_rdf_OH_bond[1] c_rdf_OH_bond[2] c_rdf_OH_bond[3]
44000 100
46 0.91 10.2861 0.0192079
47 0.93 5.38332 0.025297
48 0.95 6.2504 0.0326733
49 0.97 6.55926 0.0407426
50 0.99 6.06532 0.0485149
51 1.01 3.78474 0.0535644
52 1.03 1.67637 0.0558911
53 1.05 2.02534 0.0588119
54 1.07 2.08381 0.0619307
55 1.09 2.19748 0.0653465
56 1.11 2.52029 0.0694059
57 1.13 1.09747 0.0712376
58 1.15 1.05841 0.0730693
59 1.17 1.51958 0.0757921
60 1.19 0.855065 0.0773762
61 1.21 0.87856 0.0790594
62 1.23 1.17651 0.0813861
63 1.25 1.18717 0.0838119
64 1.27 1.19721 0.0863366
65 1.29 1.7289 0.090099
66 1.31 1.52242 0.0935149
67 1.33 1.13513 0.0961386
68 1.35 1.39231 0.0994554
69 1.37 1.29136 0.102624
70 1.39 1.31229 0.105941
71 1.41 1.29449 0.109307
72 1.43 1.5547 0.113465
73 1.45 2.10694 0.119257
74 1.47 1.80323 0.124356
75 1.49 1.44908 0.128564
76 1.51 1.89338 0.134208
77 1.53 1.58531 0.139059
78 1.55 1.5291 0.143861
79 1.57 1.52035 0.148762
80 1.59 3.50352 0.160347
81 1.61 3.63562 0.172673
82 1.63 3.12018 0.183515
83 1.65 2.67081 0.19302
84 1.67 2.83585 0.203366
85 1.69 3.88351 0.217871
86 1.71 1.99321 0.225495
87 1.73 1.75791 0.232376
88 1.75 3.7333 0.247327
89 1.77 3.51709 0.261733
90 1.79 2.293 0.271337
91 1.81 2.90121 0.283762
92 1.83 2.41897 0.294356
93 1.85 2.03557 0.303465
94 1.87 0.984782 0.30797
95 1.89 1.57909 0.315347
96 1.91 1.39052 0.32198
97 1.93 1.24958 0.328069
98 1.95 1.35411 0.334802
99 1.97 1.61959 0.34302
100 1.99 1.85489 0.352624
44700 100
1 0.01 0 0
2 0.03 0 0
