# Time-averaged data for fix msd_output
# TimeStep Number-of-rows
# Row c_msd_HAP c_msd_CO2
43900 4
4 3.24472 289.122
54000 4
1 0.0156222 0.00525177
2 0.0124298 1.77093e-05
3 3.3072 274.027
4 3.33525 274.032
54100 4
1 0.0159305 0.0053555
2 0.0126753 1.80591e-05
3 3.39045 266.724
4 3.41906 266.73
54200 4
1 0.0162418 0.00546024
2 0.0129232 1.84123e-05
3 3.44903 270.26
4 3.4782 270.266
54300 4
1 0.0165561 0.005566
2 0.0131735 1.8769e-05
3 3.49258 282.531
4 3.5223 282.536
54400 4
1 0.0168734 0.00567278
2 0.0134261 1.9129e-05
3 3.54138 276.805
4 3.57168 276.81
54500 4
1 0.0171938 0.00578057
2 0.0136812 1.94925e-05
3 3.60599 271.477
4 3.63686 271.482
54600 4
1 0.0175171 0.00588937
2 0.0139387 1.98594e-05
3 3.66956 277.396
4 3.70101 277.402
54700 4
1 0.0178434 0.00599919
2 0.0141986 2.02297e-05
3 3.74855 285.457
4 3.7806 285.463
54800 4
1 0.0181728 0.00611002
2 0.0144609 2.06034e-05
3 3.82007 274.036
4 3.8527 274.043
54900 4
1 0.0185051 0.00622187
2 0.0147255 2.09806e-05
3 3.87696 270.753
4 3.91019 270.759
55000 4
1 0.0188405 0.00633473
2 0.0149926 2.13611e-05
3 3.90927 278.567
4 3.9431 278.574
55100 4
1 0.0191789 0.0064486
2 0.0152621 2.17451e-05
3 3.99052 280.842
4 4.02496 280.849
55200 4
1 0.0195203 0.00656349
2 0.015534 2.21326e-05
3 4.06261 269.47
4 4.09767 269.477
55300 4
1 0.0198647 0.0066794
2 0.0158083 2.25234e-05
3 4.11257 268.731
4 4.14825 268.738
55400 4
1 0.0202121 0.00679631
2 0.016085 2.29177e-05
3 4.17209 279.228
4 4.20839 279.235
55500 4
1 0.0205626 0.00691425
2 0.016364 2.33153e-05
3 4.20642 286.358
4 4.24335 286.365
55600 4
1 0.020916 0.00703319
2 0.0166455 2.37164e-05
3 4.26945 277.666
4 4.30701 277.673
55700 4
1 0.0212725 0.00715316
2 0.0169294 2.4121e-05
3 4.31311 280.874
4 4.35131 280.881
55800 4
1 0.021632 0.00727413
2 0.0172157 2.45289e-05
3 4.3696 279.222
4 4.40845 279.23
55900 4
1 0.0219945 0.00739612
2 0.0175044 2.49403e-05
3 4.44303 265.154
4 4.48253 265.161
56000 4
1 0.02236 0.00751913
2 0.0177955 2.5355e-05
3 4.50978 261.83
4 4.54994 261.837
56100 4
1 0.0227285 0.00764315
2 0.0180889 2.57732e-05
3 4.55238 269.295
4 4.5932 269.303
56200 4
1 0.0231001 0.00776818
2 0.0183848 2.61949e-05
3 4.5996 288.279
4 4.64109 288.287
56300 4
1 0.0234746 0.00789423
2 0.0186831 2.66199e-05
3 4.68216 300.44
4 4.72432 300.448
56400 4
1 0.0238522 0.00802129
2 0.0189838 2.70484e-05
3 4.73215 290.153
4 4.77499 290.161
56500 4
1 0.0242328 0.00814937
2 0.0192869 2.74803e-05
3 4.77938 269.729
4 4.8229 269.737
56600 4
1 0.0246164 0.00827846
2 0.0195924 2.79156e-05
3 4.80522 260.638
4 4.84943 260.646
56700 4
1 0.025003 0.00840857
2 0.0199003 2.83543e-05
3 4.84955 262.407
4 4.89445 262.415
56800 4
1 0.0253926 0.00853969
2 0.0202106 2.87964e-05
3 4.91508 275.16
4 4.96069 275.169
56900 4
1 0.0257853 0.00867183
2 0.0205233 2.9242e-05
3 4.94671 293.713
4 4.99302 293.722
57000 4
1 0.0261809 0.00880497
2 0.0208383 2.9691e-05
3 4.94894 295.792
4 4.99596 295.801
57100 4
1 0.0265796 0.00893914
2 0.0211558 3.01434e-05
3 4.99774 280.95
4 5.04547 280.959
57200 4
1 0.0269813 0.00907432
2 0.0214757 3.05992e-05
3 5.05557 265.179
4 5.10403 265.188
57300 4
1 0.027386 0.00921051
2 0.021798 3.10585e-05
3 5.10297 260.949
4 5.15215 260.958
57400 4
1 0.0277937 0.00934772
2 0.0221227 3.15212e-05
3 5.15736 267.99
4 5.20728 268
57500 4
1 0.0282044 0.00948594
2 0.0224498 3.19873e-05
3 5.21317 286.225
4 5.26383 286.235
57600 4
1 0.0286182 0.00962518
2 0.0227793 3.24568e-05
3 5.25091 293.329
4 5.30231 293.339
57700 4
1 0.0290349 0.00976543
2 0.0231112 3.29297e-05
3 5.28564 289.699
4 5.33778 289.709
57800 4
1 0.0294547 0.00990669
2 0.0234455 3.34061e-05
3 5.31616 270.795
4 5.36906 270.805
57900 4
1 0.0298775 0.010049
2 0.0237822 3.38858e-05
3 5.33488 260.857
4 5.38854 260.867
58000 4
1 0.0303033 0.0101923
2 0.0241213 3.4369e-05
3 5.35012 261.54
4 5.40455 261.55
58100 4
1 0.0307321 0.0103366
2 0.0244628 3.48557e-05
3 5.37864 272.932
4 5.43384 272.943
58200 4
1 0.0311639 0.0104819
2 0.0248067 3.53457e-05
3 5.42072 292.268
4 5.47669 292.279
58300 4
1 0.0315988 0.0106282
2 0.025153 3.58392e-05
3 5.44218 295.829
4 5.49893 295.84
58400 4
1 0.0320366 0.0107756
2 0.0255017 3.6336e-05
3 5.46098 281.492
4 5.51852 281.503
58500 4
1 0.0324775 0.010924
2 0.0258528 3.68363e-05
3 5.49533 265.533
4 5.55366 265.544
58600 4
1 0.0329214 0.0110733
2 0.0262063 3.73401e-05
3 5.52453 261.2
4 5.58366 261.211
58700 4
1 0.0333683 0.0112237
2 0.0265622 3.78472e-05
3 5.55673 268.06
4 5.61666 268.071
58800 4
1 0.0338182 0.0113751
2 0.0269205 3.83578e-05
3 5.56424 285.581
4 5.62498 285.592
58900 4
1 0.0342711 0.0115276
2 0.0272812 3.88718e-05
3 5.5907 288.531
4 5.65225 288.543
59000 4
1 0.0347271 0.011681
2 0.0276443 3.93892e-05
3 5.59658 287.77
4 5.65896 287.782
59100 4
1 0.035186 0.0118354
2 0.0280098 3.991e-05
3 5.62503 271.772
4 5.68823 271.784
59200 4
1 0.035648 0.0119909
2 0.0283777 4.04342e-05
3 5.66153 260.921
4 5.72556 260.933
59300 4
1 0.036113 0.0121474
2 0.028748 4.09619e-05
3 5.68499 260.546
4 5.74985 260.558
59400 4
1 0.036581 0.0123049
2 0.0291207 4.1493e-05
3 5.69839 270.569
4 5.76409 270.582
59500 4
1 0.037052 0.0124634
2 0.0294958 4.20275e-05
3 5.75265 285.67
4 5.8192 285.683
59600 4
1 0.037526 0.0126229
2 0.0298733 4.25654e-05
3 5.74637 284.951
4 5.81377 284.964
59700 4
1 0.0380031 0.0127835
