# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  11700      4.55e+00    3.69e+00      4.03e-02    1.77e-02      2.37e-01    1.94e-01    3.6e-04
  11800      3.63e+00    3.32e+00      2.74e-02    6.70e-03      1.90e-01    1.75e-01    3.6e-04
  11900      3.91e+00    3.39e+00      1.71e-02    7.52e-03      2.06e-01    1.79e-01    3.6e-04
  12000      5.16e+00    5.36e+00      2.29e-02    5.15e-02      2.71e-01    2.80e-01    3.6e-04
  12100      3.86e+00    3.24e+00      4.10e-02    1.75e-02      2.01e-01    1.70e-01    3.6e-04
  12200      4.05e+00    5.20e+00      2.94e-02    1.37e-02      2.12e-01    2.74e-01    3.6e-04
  12300      3.98e+00    3.38e+00      3.59e-03    9.09e-03      2.10e-01    1.78e-01    3.6e-04
  12400      3.73e+00    3.30e+00      1.33e-02    7.44e-03      1.96e-01    1.74e-01    3.6e-04
  12500      4.89e+00    3.24e+00      9.26e-03    1.58e-02      2.58e-01    1.70e-01    3.6e-04
  12600      5.51e+00    9.59e+00      7.69e-04    2.23e-02      2.91e-01    5.06e-01    3.6e-04
  12700      3.26e+00    6.64e+00      1.88e-02    2.73e-02      1.71e-01    3.50e-01    3.6e-04
  12800      3.55e+00    3.63e+00      1.73e-02    1.85e-02      1.87e-01    1.91e-01    3.6e-04
  12900      3.27e+00    3.56e+00      4.89e-03    3.96e-02      1.72e-01    1.85e-01    3.6e-04
  13000      3.51e+00    3.19e+00      4.56e-02    5.70e-02      1.81e-01    1.61e-01    3.6e-04
  13100      3.49e+00    3.58e+00      3.90e-02    1.48e-02      1.81e-01    1.89e-01    3.6e-04
  13200      5.38e+00    3.30e+00      1.40e-02    2.95e-02      2.84e-01    1.72e-01    3.6e-04
  13300      3.40e+00    3.85e+00      8.26e-03    7.02e-02      1.79e-01    1.94e-01    3.6e-04
  13400      3.61e+00    3.32e+00      1.90e-02    1.92e-02      1.90e-01    1.74e-01    3.6e-04
  13500      4.04e+00    3.37e+00      2.71e-02    1.28e-02      2.12e-01    1.78e-01    3.6e-04
  13600      3.84e+00    3.52e+00      1.22e-02    5.94e-03      2.02e-01    1.86e-01    3.6e-04
  13700      3.85e+00    3.32e+00      1.32e-02    2.24e-02      2.03e-01    1.74e-01    3.6e-04
  13800      3.92e+00    3.39e+00      4.08e-02    2.35e-02      2.04e-01    1.78e-01    3.6e-04
  13900      3.17e+00    3.45e+00      1.10e-02    1.74e-02      1.67e-01    1.82e-01    3.6e-04
  14000      8.36e+00    3.77e+00      3.45e-02    2.62e-02      4.40e-01    1.98e-01    3.6e-04
  14100      3.79e+00    3.43e+00      1.92e-02    9.46e-03      1.99e-01    1.81e-01    3.6e-04
  14200      3.58e+00    5.60e+00      3.47e-02    4.40e-02      1.87e-01    2.93e-01    3.6e-04
  14300      3.32e+00    3.28e+00      2.87e-02    3.56e-02      1.74e-01    1.71e-01    3.6e-04
  14400      4.03e+00    3.93e+00      1.66e-03    9.76e-03      2.13e-01    2.07e-01    3.6e-04
  14500      3.42e+00    3.18e+00      1.77e-02    4.57e-03      1.80e-01    1.68e-01    3.6e-04
  14600      3.43e+00    3.26e+00      3.48e-02    7.71e-02      1.79e-01    1.59e-01    3.6e-04
  14700      3.84e+00    3.66e+00      6.28e-02    1.35e-02      1.95e-01    1.93e-01    3.6e-04
  14800      5.06e+00    3.34e+00      2.26e-02    2.27e-02      2.66e-01    1.75e-01    3.6e-04
  14900      3.76e+00    3.69e+00      8.72e-02    5.48e-02      1.84e-01    1.89e-01    3.6e-04
  15000      3.59e+00    4.17e+00      2.48e-02    3.00e-02      1.88e-01    2.18e-01    3.6e-04
  15100      2.25e+00    2.47e+00      9.27e-03    1.30e-03      1.53e-01    1.68e-01    2.1e-04
  15200      3.21e+00    2.28e+00      5.94e-03    5.37e-03      2.18e-01    1.55e-01    2.1e-04
  15300      2.59e+00    2.49e+00      1.27e-02    5.53e-03      1.76e-01    1.69e-01    2.1e-04
  15400      2.54e+00    2.35e+00      4.56e-03    9.81e-03      1.73e-01    1.60e-01    2.1e-04
  15500      2.45e+00    2.43e+00      1.53e-02    5.52e-03      1.66e-01    1.66e-01    2.1e-04
  15600      2.38e+00    2.31e+00      6.24e-03    7.95e-03      1.62e-01    1.57e-01    2.1e-04
  15700      3.24e+00    3.35e+00      1.18e-02    3.03e-03      2.20e-01    2.28e-01    2.1e-04
  15800      3.32e+00    2.57e+00      4.57e-03    6.41e-03      2.26e-01    1.75e-01    2.1e-04
  15900      2.44e+00    2.40e+00      6.59e-04    8.59e-03      1.66e-01    1.63e-01    2.1e-04
  16000      2.39e+00    3.75e+00      1.98e-02    1.40e-02      1.61e-01    2.55e-01    2.1e-04
  16100      2.40e+00    6.02e+00      3.17e-03    2.46e-03      1.63e-01    4.10e-01    2.1e-04
  16200      3.34e+00    2.43e+00      1.36e-02    1.68e-02      2.27e-01    1.64e-01    2.1e-04
  16300      2.56e+00    2.15e+00      3.36e-02    1.25e-02      1.69e-01    1.46e-01    2.1e-04
  16400      2.69e+00    3.37e+00      1.09e-02    2.28e-02      1.83e-01    2.28e-01    2.1e-04
  16500      2.33e+00    2.95e+00      5.32e-03    1.84e-02      1.59e-01    2.00e-01    2.1e-04
  16600      3.63e+00    2.47e+00      6.69e-03    1.57e-02      2.47e-01    1.67e-01    2.1e-04
  16700      2.83e+00    5.00e+00      1.70e-02    1.35e-02      1.92e-01    3.40e-01    2.1e-04
  16800      4.31e+00    2.44e+00      1.59e-02    5.55e-03      2.93e-01    1.66e-01    2.1e-04
  16900      2.39e+00    3.73e+00      2.91e-02    1.47e-02      1.59e-01    2.53e-01    2.1e-04
  17000      2.45e+00    2.46e+00      1.88e-02    3.20e-02      1.65e-01    1.63e-01    2.1e-04
  17100      2.69e+00    2.34e+00      1.30e-02    7.83e-03      1.83e-01    1.59e-01    2.1e-04
  17200      3.78e+00    2.30e+00      1.50e-02    5.33e-03      2.56e-01    1.57e-01    2.1e-04
  17300      2.45e+00    3.64e+00      1.66e-02    1.12e-02      1.66e-01    2.48e-01    2.1e-04
  17400      2.36e+00    2.62e+00      2.77e-02    4.69e-04      1.57e-01    1.78e-01    2.1e-04
  17500      2.48e+00    2.83e+00      3.34e-03    1.31e-02      1.69e-01    1.92e-01    2.1e-04
  17600      3.69e+00    2.36e+00      1.29e-02    1.75e-02      2.51e-01    1.59e-01    2.1e-04
  17700      2.62e+00    2.63e+00      1.52e-03    7.52e-03      1.79e-01    1.79e-01    2.1e-04
  17800      2.33e+00    2.58e+00      6.85e-03    3.75e-02      1.58e-01    1.70e-01    2.1e-04
  17900      2.33e+00    2.96e+00      7.73e-03    2.61e-02      1.58e-01    1.99e-01    2.1e-04
  18000      2.40e+00    3.17e+00      7.11e-03    1.91e-03      1.63e-01    2.16e-01    2.1e-04
  18100      2.46e+00    2.35e+00      1.76e-02    1.26e-02      1.66e-01    1.59e-01    2.1e-04
  18200      2.55e+00    2.67e+00      1.87e-02    4.20e-04      1.72e-01    1.82e-01    2.1e-04
  18300      3.70e+00    2.44e+00      1.46e-02    1.23e-02      2.52e-01    1.65e-01    2.1e-04
  18400      2.68e+00    2.45e+00      1.82e-02    1.22e-02      1.81e-01    1.66e-01    2.1e-04
  18500      2.43e+00    2.24e+00      1.94e-02    6.01e-03      1.64e-01    1.52e-01    2.1e-04
  18600      3.53e+00    2.59e+00      2.50e-02    1.59e-02      2.38e-01    1.75e-01    2.1e-04
  18700      3.55e+00    2.52e+00      1.96e-02    8.44e-03      2.40e-01    1.71e-01    2.1e-04
  18800      2.70e+00    2.39e+00      1.76e-02    8.72e-03      1.83e-01    1.62e-01    2.1e-04
  18900      3.01e+00    2.42e+00      1.59e-02    1.02e-03      2.04e-01    1.65e-01    2.1e-04
  19000      2.84e+00    2.58e+00      2.59e-02    2.12e-02      1.91e-01    1.74e-01    2.1e-04
  19100      2.86e+00    2.71e+00      5.20e-03    2.95e-02      1.94e-01    1.81e-01    2.1e-04
  19200      2.46e+00    2.85e+00      7.46e-03    1.50e-02      1.67e-01    1.94e-01    2.1e-04
  19300      2.34e+00    2.36e+00      8.79e-03    2.49e-02      1.59e-01    1.58e-01    2.1e-04
  19400      2.67e+00    2.26e+00      1.56e-02    9.44e-03      1.81e-01    1.53e-01    2.1e-04
  19500      3.27e+00    4.16e+00      7.05e-03    1.86e-02      2.23e-01    2.82e-01    2.1e-04
  19600      2.33e+00    2.24e+00      9.87e-03    1.51e-02      1.58e-01    1.52e-01    2.1e-04
  19700      3.70e+00    2.31e+00      3.11e-02    1.88e-02      2.49e-01    1.55e-01    2.1e-04
  19800      2.27e+00    2.29e+00      1.24e-03    4.26e-02      1.54e-01    1.47e-01    2.1e-04
  19900      3.59e+00    2.18e+00      4.94e-03    1.70e-03      2.45e-01    1.49e-01    2.1e-04
  20000      2.70e+00    2.61e+00      4.71e-02    6.13e-02      1.75e-01    1.62e-01    2.1e-04
  20100      2.66e+00    3.07e+00      7.05e-03    1.65e-03      2.34e-01    2.70e-01    1.3e-04
  20200      1.72e+00    8.31e+00      6.16e-03    1.14e-03      1.51e-01    7.30e-01    1.3e-04
  20300      1.65e+00    1.74e+00      5.44e-03    4.91e-03      1.45e-01    1.53e-01    1.3e-04
  20400      1.71e+00    1.57e+00      2.83e-03    3.79e-03      1.50e-01    1.38e-01    1.3e-04
  20500      2.18e+00    1.71e+00      2.22e-03    3.52e-03      1.92e-01    1.50e-01    1.3e-04
  20600      1.75e+00    1.64e+00      4.33e-03    1.58e-03      1.53e-01    1.44e-01    1.3e-04
  20700      1.70e+00    1.65e+00      9.83e-03    3.83e-03      1.48e-01    1.45e-01    1.3e-04
  20800      2.17e+00    1.72e+00      1.30e-03    7.55e-03      1.91e-01    1.51e-01    1.3e-04
  20900      2.69e+00    1.63e+00      1.93e-04    1.01e-03      2.37e-01    1.43e-01    1.3e-04
  21000      1.66e+00    1.69e+00      6.73e-03    3.61e-03      1.46e-01    1.48e-01    1.3e-04
  21100      2.36e+00    1.54e+00      1.28e-03    7.67e-03      2.08e-01    1.34e-01    1.3e-04
  21200      2.48e+00    1.56e+00      1.48e-02    1.20e-02      2.17e-01    1.36e-01    1.3e-04
  21300      3.80e+00    1.66e+00      6.06e-03    1.20e-02      3.34e-01    1.44e-01    1.3e-04
  21400      1.71e+00    1.90e+00      6.66e-03    1.45e-02      1.50e-01    1.65e-01    1.3e-04
  21500      2.67e+00    1.81e+00      5.35e-03    6.02e-03      2.34e-01    1.59e-01    1.3e-04
  21600      2.22e+00    1.79e+00      3.80e-03    6.62e-03      1.95e-01    1.57e-01    1.3e-04
  21700      1.71e+00    4.97e+00      6.62e-03    9.47e-03      1.50e-01    4.37e-01    1.3e-04
  21800      2.01e+00    1.61e+00      4.52e-03    9.19e-03      1.76e-01    1.41e-01    1.3e-04
  21900      1.73e+00    1.55e+00      1.09e-02    4.52e-04      1.51e-01    1.36e-01    1.3e-04
  22000      1.84e+00    2.21e+00      7.67e-03    1.15e-02      1.61e-01    1.93e-01    1.3e-04
  22100      1.77e+00    1.77e+00      6.53e-03    5.09e-04      1.56e-01    1.56e-01    1.3e-04
  22200      1.83e+00    1.64e+00      7.53e-04    2.41e-03      1.61e-01    1.44e-01    1.3e-04
  22300      1.79e+00    1.67e+00      1.62e-02    1.07e-02      1.55e-01    1.46e-01    1.3e-04
  22400      3.29e+00    5.04e+00      4.05e-04    1.13e-02      2.89e-01    4.43e-01    1.3e-04
  22500      2.95e+00    1.93e+00      3.69e-03    2.98e-03      2.59e-01    1.69e-01    1.3e-04
  22600      1.88e+00    2.10e+00      2.63e-02    9.79e-03      1.60e-01    1.84e-01    1.3e-04
